id,email,nombre,rol,puntos,racha,password,edad,genero,lugar,desafio,sentimiento,mascota,tiempo,tokens,ultimaConexion,createdAt
user-001,dante.benitez@correo.com,Dante Benitez,usuario,444,24,User123!,29,Prefiero no decirlo,Tandil,Porcentajes,Curioso,suma,+15 minutos,388,2025-12-04T05:13:54,2025-01-12T16:01:32
user-002,ezequiel.correa@correo.com,Ezequiel Correa,usuario,294,18,User123!,43,Masculino,Campana,Estimulacion cognitiva,Motivado,division,10 minutos,252,2026-05-22T05:13:01,2025-04-13T09:29:53
user-003,alejandro.fernandez@correo.com,Alejandro Fernandez,usuario,211,11,User123!,24,Masculino,Resistencia,Geometria basica,Relajado,,10 minutos,156,2025-12-28T14:20:40,2025-09-29T23:54:51
user-004,bruno.perez@correo.com,Bruno Perez,usuario,178,12,User123!,26,Masculino,Tucuman,Numeros basicos,Motivado,,5 minutos,125,2026-06-08T20:39:40,2024-08-23T10:13:10
user-005,gabriela.lopez@correo.com,Gabriela Lopez,usuario,266,17,User123!,42,Femenino,Posadas,Porcentajes,Ansioso,,+30 minutos,235,2026-06-16T19:44:06,2024-10-02T22:54:06
user-006,laura.ojeda@correo.com,Laura Ojeda,usuario,267,14,User123!,24,Femenino,Resistencia,Geometria basica,Motivado,geometria,10 minutos,224,2025-11-17T13:53:24,2025-10-30T00:19:07
user-007,graciela.ruiz@correo.com,Graciela Ruiz,usuario,304,16,User123!,45,Femenino,Zarate,Porcentajes,Concentrado,,,275,2026-07-19T10:49:54,2026-07-16T19:53:50
user-008,gonzalo.pereira@correo.com,Gonzalo Pereira,usuario,105,8,User123!,41,Masculino,Venado Tuerto,Finanzas cotidianas,Ansioso,geometria,+15 minutos,72,2026-03-12T04:17:15,2025-08-03T23:44:22
user-009,claudia.sanchez@correo.com,Claudia Sanchez,usuario,439,25,User123!,48,Femenino,Santa Fe,Porcentajes,Motivado,geometria,+30 minutos,340,2025-07-27T01:21:41,2024-11-14T07:34:37
user-010,martin.martinez@correo.com,Martin Martinez,usuario,320,17,User123!,50,Masculino,Venezuela,Comercio minorista,Motivado,geometria,+15 minutos,275,2026-06-17T05:25:26,2025-04-09T07:28:31
user-011,sabrina.salazar@correo.com,Sabrina Salazar,usuario,489,26,User123!,75,Prefiero no decirlo,Bahia Blanca,Economia domestica,Confundido,geometria,+15 minutos,403,2026-01-15T10:50:24,2025-10-28T12:49:09
user-012,elena.leguizamon@correo.com,Elena Leguizamon,usuario,324,17,User123!,44,Femenino,Tandil,Comercio minorista,Concentrado,geometria,10 minutos,252,2026-07-03T08:02:49,2026-05-17T16:54:48
user-013,antonella.gonzalez@correo.com,Antonella Gonzalez,usuario,177,11,User123!,23,Femenino,Zarate,Numeros basicos,Concentrado,geometria,+15 minutos,137,2026-07-15T00:40:15,2026-06-12T05:11:59
user-014,lucia.farias@correo.com,Lucia Farias,usuario,445,25,User123!,57,Femenino,Posadas,Finanzas cotidianas,Relajado,,,386,2026-03-29T02:30:26,2025-01-15T10:04:01
user-015,gonzalo.juarez@correo.com,Gonzalo Juarez,usuario,301,16,User123!,35,Masculino,Mar del Plata,Finanzas cotidianas,Relajado,geometria,10 minutos,248,2025-09-30T12:12:47,2025-02-27T03:15:14
user-016,antonella.carrizo@correo.com,Antonella Carrizo,usuario,231,13,User123!,45,Femenino,Mercedes,Comercio minorista,Relajado,,5 minutos,175,2024-09-13T02:17:18,2024-07-24T02:34:08
user-017,candela.caceres@correo.com,Candela Caceres,usuario,83,5,User123!,26,Femenino,Mercedes,Geometria basica,Ansioso,multiplicacion,,75,2025-11-15T09:21:54,2025-10-21T00:38:48
user-018,juana.sandoval@correo.com,Juana Sandoval,usuario,316,17,User123!,54,Femenino,Reconquista,Economia domestica,Relajado,geometria,5 minutos,262,2026-01-04T05:28:15,2025-07-03T18:24:58
user-019,gonzalo.marquez@correo.com,Gonzalo Marquez,usuario,176,9,User123!,28,Masculino,Neuquen,Construccion civil,Confundido,geometria,5 minutos,153,2026-05-29T21:39:14,2026-03-13T17:56:12
user-020,martin.vega@correo.com,Martin Vega,usuario,247,12,User123!,41,Masculino,Rafaela,Porcentajes,Concentrado,,5 minutos,197,2026-06-13T11:15:23,2026-04-08T18:03:59
user-021,maximiliano.moreno@correo.com,Maximiliano Moreno,usuario,269,15,User123!,50,Masculino,Reconquista,Estimulacion cognitiva,Relajado,,+15 minutos,224,2025-04-06T04:03:24,2024-12-08T02:16:44
user-022,maria.mansilla@correo.com,Maria Mansilla,usuario,292,14,User123!,27,Femenino,Villa Maria,Construccion civil,Relajado,resta,+15 minutos,224,2025-05-06T05:49:30,2025-03-27T14:51:53
user-023,alejandro.moreno@correo.com,Alejandro Moreno,usuario,328,17,User123!,50,Masculino,Panama,Economia domestica,Ansioso,,+30 minutos,248,2025-10-31T21:08:09,2025-01-10T01:35:04
user-024,valentina.medina@correo.com,Valentina Medina,usuario,394,23,User123!,20,Femenino,Gualeguaychu,Geometria basica,Motivado,,10 minutos,332,2026-07-12T11:47:17,2026-07-06T08:58:31
user-025,graciela.pereira@correo.com,Graciela Pereira,usuario,149,7,User123!,36,Femenino,Santiago del Estero,Finanzas cotidianas,Curioso,suma,5 minutos,139,2026-07-30T01:58:56,2025-07-12T23:21:25
user-026,luis.ortiz@correo.com,Luis Ortiz,usuario,504,27,User123!,37,Prefiero no decirlo,Tandil,Comercio minorista,Relajado,division,+30 minutos,396,2026-02-16T13:43:32,2024-09-21T19:35:16
user-027,tomas.sanchez@correo.com,Tomas Sanchez,usuario,123,6,User123!,73,Masculino,Rio Cuarto,Economia domestica,Ansioso,,5 minutos,114,2025-10-04T13:09:16,2024-11-12T13:20:42
user-028,leonardo.romero@correo.com,Leonardo Romero,usuario,477,28,User123!,39,Prefiero no decirlo,Reconquista,Comercio minorista,Curioso,multiplicacion,,388,2026-07-29T15:36:33,2026-07-27T20:32:57
user-029,paula.salinas@correo.com,Paula Salinas,usuario,127,8,User123!,29,Femenino,Peru,Construccion civil,Concentrado,resta,+15 minutos,80,2025-10-12T01:09:22,2025-04-30T21:58:44
user-030,maximiliano.correa@correo.com,Maximiliano Correa,usuario,300,17,User123!,65,Masculino,Santiago del Estero,Economia domestica,Ansioso,,,237,2026-06-30T19:22:35,2026-06-19T04:15:04
user-031,belen.benitez@correo.com,Belen Benitez,usuario,299,15,User123!,54,Femenino,San Juan,Economia domestica,Ansioso,,5 minutos,253,2026-07-29T18:38:28,2026-07-29T04:11:35
user-032,laura.gomez@correo.com,Laura Gomez,usuario,326,19,User123!,35,Femenino,San Luis,Finanzas cotidianas,Relajado,,5 minutos,276,2025-11-24T20:15:04,2024-07-25T09:01:03
user-033,claudia.bustos@correo.com,Claudia Bustos,usuario,130,8,User123!,50,Femenino,Rafaela,Estimulacion cognitiva,Ansioso,division,5 minutos,130,2026-01-21T23:08:52,2025-07-07T20:51:50
user-034,gabriela.martinez@correo.com,Gabriela Martinez,usuario,261,16,User123!,26,Femenino,Azul,Geometria basica,Concentrado,,,225,2026-03-22T04:00:54,2024-07-20T11:02:52
user-035,valentina.torres@correo.com,Valentina Torres,usuario,283,14,User123!,57,Femenino,Mexico,Finanzas cotidianas,Motivado,geometria,10 minutos,245,2026-03-07T22:00:50,2024-08-14T20:41:05
user-036,laura.diaz@correo.com,Laura Diaz,usuario,197,9,User123!,62,Femenino,San Juan,Estimulacion cognitiva,Motivado,multiplicacion,+15 minutos,161,2026-07-25T18:24:18,2026-07-03T23:44:07
user-037,mateo.gomez@correo.com,Mateo Gomez,usuario,430,23,User123!,24,Masculino,Rio Grande,Comercio minorista,Motivado,geometria,+15 minutos,346,2026-07-20T11:55:59,2026-05-15T23:54:12
user-038,leonardo.benitez@correo.com,Leonardo Benitez,usuario,298,18,User123!,25,Masculino,La Rioja,Comercio minorista,Concentrado,,+30 minutos,246,2026-07-31T23:13:16,2026-01-04T23:34:10
user-039,emiliano.medina@correo.com,Emiliano Medina,usuario,240,15,User123!,21,Masculino,Villa Maria,Construccion civil,Concentrado,suma,+15 minutos,195,2025-03-24T14:46:36,2024-12-26T22:55:41
user-040,jorge.molina@correo.com,Jorge Molina,usuario,292,18,User123!,33,Masculino,Rawson,Porcentajes,Concentrado,multiplicacion,+30 minutos,268,2025-09-09T19:57:22,2024-09-14T09:39:13
user-041,catalina.villegas@correo.com,Catalina Villegas,usuario,364,19,User123!,34,Femenino,Resistencia,Comercio minorista,Motivado,,+15 minutos,321,2026-01-13T16:28:04,2025-07-31T15:19:39
user-042,elena.lopez@correo.com,Elena Lopez,usuario,176,11,User123!,66,Femenino,Rafaela,Finanzas cotidianas,Concentrado,,10 minutos,169,2026-03-26T01:34:50,2025-01-27T18:42:24
user-043,gino.contreras@correo.com,Gino Contreras,usuario,417,24,User123!,25,Masculino,Rafaela,Construccion civil,Relajado,,5 minutos,357,2026-01-29T02:35:24,2025-06-04T07:51:35
user-044,daniel.martinez@correo.com,Daniel Martinez,usuario,198,12,User123!,45,Masculino,Corrientes,Comercio minorista,Curioso,geometria,+30 minutos,169,2026-01-31T05:49:51,2025-11-05T11:40:19
user-045,mateo.pereira@correo.com,Mateo Pereira,usuario,186,11,User123!,32,Masculino,Concordia,Comercio minorista,Ansioso,,+30 minutos,146,2026-07-01T07:36:21,2026-06-22T09:11:27
user-046,florencia.cabrera@correo.com,Florencia Cabrera,usuario,414,23,User123!,45,Femenino,Ushuaia,Finanzas cotidianas,Relajado,resta,5 minutos,353,2026-06-17T20:04:37,2025-01-30T02:55:34
user-047,martina.vera@correo.com,Martina Vera,usuario,201,13,User123!,28,Femenino,Panama,Porcentajes,Concentrado,multiplicacion,+15 minutos,152,2026-02-05T07:58:28,2026-01-31T20:49:07
user-048,laura.rojas@correo.com,Laura Rojas,usuario,270,14,User123!,38,Femenino,Peru,Geometria basica,Concentrado,,+15 minutos,247,2025-07-22T04:35:05,2025-05-09T02:14:15
user-049,lucas.lencina@correo.com,Lucas Lencina,usuario,1,1,User123!,72,Prefiero no decirlo,Azul,Economia domestica,Ansioso,resta,,0,2026-07-03T19:40:44,2026-06-11T05:48:52
user-050,enzo.duarte@correo.com,Enzo Duarte,usuario,47,3,User123!,50,Masculino,Salta,Finanzas cotidianas,Curioso,geometria,10 minutos,33,2026-03-17T10:47:18,2025-04-16T05:54:48
user-051,laura.ledesma@correo.com,Laura Ledesma,usuario,249,13,User123!,29,Femenino,Rafaela,Numeros basicos,Ansioso,geometria,,200,2024-08-03T19:36:57,2024-05-05T22:56:03
user-052,gabriela.ruiz@correo.com,Gabriela Ruiz,usuario,65,2,User123!,49,Femenino,Pergamino,Porcentajes,Ansioso,resta,+15 minutos,55,2026-06-02T07:05:45,2025-08-04T16:40:57
user-053,thiago.figueroa@correo.com,Thiago Figueroa,usuario,258,15,User123!,50,Prefiero no decirlo,Comodoro Rivadavia,Finanzas cotidianas,Concentrado,multiplicacion,+15 minutos,228,2025-10-06T13:49:23,2024-09-16T06:41:08
user-054,lucas.maldonado@correo.com,Lucas Maldonado,usuario,183,10,User123!,66,Masculino,General Roca,Economia domestica,Relajado,,,156,2025-09-20T09:27:20,2024-06-23T09:32:47
user-055,karina.silva@correo.com,Karina Silva,usuario,268,15,User123!,41,Femenino,Nicaragua,Finanzas cotidianas,Curioso,geometria,5 minutos,243,2026-07-10T04:23:39,2025-06-16T23:23:51
user-056,eduardo.escobar@correo.com,Eduardo Escobar,usuario,240,13,User123!,40,Masculino,Junin,Finanzas cotidianas,Confundido,division,+15 minutos,211,2026-03-13T20:22:49,2024-11-17T07:22:35
user-057,alejandra.salinas@correo.com,Alejandra Salinas,usuario,0,0,User123!,20,Femenino,Venado Tuerto,Finanzas cotidianas,Relajado,,,0,2025-10-07T07:52:18,2024-09-18T06:01:14
user-058,bruno.carrizo@correo.com,Bruno Carrizo,usuario,398,21,User123!,30,Masculino,San Nicolas,Geometria basica,Relajado,suma,,348,2026-06-28T15:21:00,2026-05-13T11:22:22
user-059,leandro.rojas@correo.com,Leandro Rojas,usuario,344,19,User123!,45,Masculino,Posadas,Finanzas cotidianas,Relajado,suma,+15 minutos,288,2026-04-16T16:57:10,2024-11-29T22:51:35
user-060,ezequiel.chavez@correo.com,Ezequiel Chavez,usuario,252,16,User123!,45,Prefiero no decirlo,Catamarca,Finanzas cotidianas,Motivado,,+15 minutos,224,2026-07-20T21:48:43,2025-03-31T23:11:32
user-061,claudia.sandoval@correo.com,Claudia Sandoval,usuario,461,27,User123!,37,Prefiero no decirlo,Bariloche,Porcentajes,Motivado,geometria,+15 minutos,384,2025-09-29T13:22:20,2025-07-30T09:43:33
user-062,pedro.sandoval@correo.com,Pedro Sandoval,usuario,316,16,User123!,24,Prefiero no decirlo,San Nicolas,Numeros basicos,Curioso,geometria,10 minutos,254,2026-04-05T11:43:34,2026-03-21T13:45:11
user-063,david.quiroga@correo.com,David Quiroga,usuario,232,13,User123!,41,Masculino,Rosario,Construccion civil,Relajado,multiplicacion,5 minutos,204,2025-11-11T05:17:39,2024-12-01T06:57:43
user-064,ezequiel.leguizamon@correo.com,Ezequiel Leguizamon,usuario,286,16,User123!,31,Masculino,Venado Tuerto,Finanzas cotidianas,Concentrado,geometria,+15 minutos,232,2025-11-28T04:27:28,2025-08-06T23:05:19
user-065,javier.silva@correo.com,Javier Silva,usuario,264,13,User123!,42,Masculino,Ushuaia,Finanzas cotidianas,Concentrado,,,197,2026-02-14T20:10:44,2026-02-02T20:00:08
